1/7/2021:20:58:23 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:20:26 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:20:48 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:21:33 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:23:06 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:24:34 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:24:55 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:25:28 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:25:38 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:26:39 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:29:57 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:36:50 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:37:28 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:37:35 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:37:53 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:47:10 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:54:38 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:55:36 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:56:29 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:21:58:55 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:0:15 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:0:36 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:1:47 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:2:33 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:6:28 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:6:36 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:9:12 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
1/7/2021:22:11:03 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
