30/6/2021:10:59:30 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:12:38:36 | ::ffff:127.0.0.1 | GET | /product | 200 | {"name":"SequelizeDatabaseError","parent":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"original":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"}
30/6/2021:12:38:36 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:12:38:36 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:38:36 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:38:36 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:38:37 | ::ffff:127.0.0.1 | POST | /register | 200 | "password authentication failed for user \"gustiana\""
30/6/2021:12:38:38 | ::ffff:127.0.0.1 | POST | /register | 200 | "password authentication failed for user \"gustiana\""
30/6/2021:12:40:33 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:40:33 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:40:33 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:40:33 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:12:40:33 | ::ffff:127.0.0.1 | GET | /product | 200 | {"name":"SequelizeDatabaseError","parent":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"original":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"}
30/6/2021:12:40:34 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:40:34 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:40:34 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:44:39 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:44:39 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:12:44:39 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:44:39 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:44:39 | ::ffff:127.0.0.1 | GET | /product | 200 | {"name":"SequelizeDatabaseError","parent":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"original":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"}
30/6/2021:12:44:40 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:44:40 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:44:40 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:44:40 | ::ffff:127.0.0.1 | POST | /register | 200 | "password authentication failed for user \"gustiana\""
30/6/2021:12:44:40 | ::ffff:127.0.0.1 | POST | /register | 200 | "password authentication failed for user \"gustiana\""
30/6/2021:12:45:44 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:45:44 | ::ffff:127.0.0.1 | GET | /product | 200 | {"name":"SequelizeDatabaseError","parent":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"original":{"length":108,"name":"error","severity":"ERROR","code":"42P01","position":"113","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"title\", \"category_id\", \"price\", \"brand\", \"review\", \"star\", \"image\", \"createdAt\", \"updatedAt\" FROM \"products\" AS \"products\" ORDER BY \"products\".\"updatedAt\" DESC;"}
30/6/2021:12:45:44 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:45:44 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:12:45:44 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:45:45 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:45:45 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:45:45 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:48:32 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:48:32 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:48:33 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:12:48:33 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:48:33 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:48:33 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:50:07 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:50:07 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:12:50:07 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:50:08 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:50:08 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:12:50:08 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:50:08 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:12:54:34 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:54:34 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:12:54:35 | ::ffff:127.0.0.1 | GET | /product/category | 200 | []
30/6/2021:12:54:35 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:12:54:35 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"register success"}
30/6/2021:12:54:35 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
30/6/2021:12:54:35 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:13:3:24 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:3:24 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:13:3:24 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:3:24 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:3:27 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:13:3:28 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:13:3:28 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:6:44 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:6:44 | ::ffff:127.0.0.1 | GET | /product/category | 200 | {"name":"SequelizeDatabaseError","parent":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"original":{"length":109,"name":"error","severity":"ERROR","code":"42P01","position":"61","file":"parse_relation.c","line":"1376","routine":"parserOpenTable","sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"},"sql":"SELECT \"id\", \"name\", \"image\", \"createdAt\", \"updatedAt\" FROM \"categories\" AS \"categories\" ORDER BY \"categories\".\"updatedAt\" DESC;"}
30/6/2021:13:6:44 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:6:44 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:6:45 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:13:6:45 | ::ffff:127.0.0.1 | POST | /register | 200 | "relation \"users\" does not exist"
30/6/2021:13:6:45 | ::ffff:127.0.0.1 | POST | /login | 200 | "relation \"users\" does not exist"
30/6/2021:13:6:46 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"register success"}
30/6/2021:13:6:46 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
30/6/2021:13:6:46 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"e-mail not registered!"}
30/6/2021:13:36:37 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlcnRlc3RAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNzYyNjk5OCwiZXhwIjoxNjI3NzEzMzk4fQ.r4KOErRqmoavH-Vq4kAgHDoChGpgfQ6U8UbBqPRQ6MI"}
30/6/2021:13:36:37 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlcnRlc3RAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNzYyNjk5OCwiZXhwIjoxNjI3NzEzMzk4fQ.r4KOErRqmoavH-Vq4kAgHDoChGpgfQ6U8UbBqPRQ6MI"}
30/6/2021:13:36:37 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlcnRlc3RAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNzYyNjk5OCwiZXhwIjoxNjI3NzEzMzk4fQ.r4KOErRqmoavH-Vq4kAgHDoChGpgfQ6U8UbBqPRQ6MI"}
30/6/2021:13:36:38 | ::ffff:127.0.0.1 | GET | /product/category | 200 | []
30/6/2021:13:36:38 | ::ffff:127.0.0.1 | POST | /product/category | 200 | {"message":"add categories is success"}
30/6/2021:13:36:38 | ::ffff:127.0.0.1 | PUT | /product/category | 200 | {"message":"category id not found"}
30/6/2021:13:36:39 | ::ffff:127.0.0.1 | DELETE | /product/category/32 | 200 | {"message":"category id not found!"}
30/6/2021:13:36:38 | ::ffff:127.0.0.1 | GET | /bag | 200 | {"message":"empty bag, please choose one product"}
