20/6/2021:10:0:05 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:16:59 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"add product is success"}
20/6/2021:10:20:19 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:20:19 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:20:19 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidGVzdEBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2NzUxMjE5LCJleHAiOjE2MjY4Mzc2MTl9.kA0td1s9ZBh8QgNJnifSUnryw6A9_nBBt3cQ-CAga1c"}
20/6/2021:10:20:19 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlckBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2NzUxMjE5LCJleHAiOjE2MjY4Mzc2MTl9.2-saaAgUVUWX4K6H2cTQQ_jS3ZfC9PtW3rktXGdSMn0"}
20/6/2021:10:20:19 | ::ffff:127.0.0.1 | GET | /product | 200 | [{"id":23,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T03:16:59.943Z","updatedAt":"2021-07-20T03:16:59.943Z"},{"id":22,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T03:00:09.254Z","updatedAt":"2021-07-20T03:00:09.254Z"},{"id":21,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:40:45.469Z","updatedAt":"2021-07-19T10:40:45.469Z"},{"id":20,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:39:41.791Z","updatedAt":"2021-07-19T10:39:41.791Z"},{"id":19,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:38:23.117Z","updatedAt":"2021-07-19T10:38:23.117Z"},{"id":18,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:36:39.836Z","updatedAt":"2021-07-19T10:36:39.836Z"},{"id":17,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:35:38.852Z","updatedAt":"2021-07-19T10:35:38.852Z"},{"id":16,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:32:28.683Z","updatedAt":"2021-07-19T10:32:28.683Z"},{"id":15,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:30:16.094Z","updatedAt":"2021-07-19T10:30:16.094Z"},{"id":14,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:28:32.899Z","updatedAt":"2021-07-19T10:28:32.899Z"},{"id":13,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:36:22.036Z","updatedAt":"2021-07-19T09:36:22.036Z"},{"id":12,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:34:10.082Z","updatedAt":"2021-07-19T09:34:10.082Z"},{"id":11,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:33:40.416Z","updatedAt":"2021-07-19T09:33:40.416Z"},{"id":10,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:32:58.417Z","updatedAt":"2021-07-19T09:32:58.417Z"},{"id":9,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:32:22.627Z","updatedAt":"2021-07-19T09:32:22.627Z"},{"id":8,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:31:20.868Z","updatedAt":"2021-07-19T09:31:20.868Z"},{"id":7,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:30:20.075Z","updatedAt":"2021-07-19T09:30:20.075Z"},{"id":6,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:28:36.215Z","updatedAt":"2021-07-19T09:28:36.215Z"},{"id":5,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:27:42.890Z","updatedAt":"2021-07-19T09:27:42.890Z"},{"id":4,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:23:25.782Z","updatedAt":"2021-07-19T09:23:25.782Z"},{"id":3,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:22:17.852Z","updatedAt":"2021-07-19T09:22:17.852Z"},{"id":2,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:13:08.318Z","updatedAt":"2021-07-19T09:13:08.318Z"}]
20/6/2021:10:20:20 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"add product is success"}
20/6/2021:10:22:12 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"register success"}
20/6/2021:10:22:13 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:22:13 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidGVzdEBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2NzUxMzMzLCJleHAiOjE2MjY4Mzc3MzN9.lX7Z6jzYItiHZj6e1_axmaV_9XYyBRNN1rvJ_-zsoaw"}
20/6/2021:10:22:13 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlckBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2NzUxMzMzLCJleHAiOjE2MjY4Mzc3MzN9.Zt2LmAsyuX8bm1X5CJfG-pPsLQ62HHU5zqVY1ta-eEE"}
20/6/2021:10:22:13 | ::ffff:127.0.0.1 | GET | /product | 200 | [{"id":24,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T03:20:20.036Z","updatedAt":"2021-07-20T03:20:20.036Z"},{"id":23,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T03:16:59.943Z","updatedAt":"2021-07-20T03:16:59.943Z"},{"id":22,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-20T03:00:09.254Z","updatedAt":"2021-07-20T03:00:09.254Z"},{"id":21,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:40:45.469Z","updatedAt":"2021-07-19T10:40:45.469Z"},{"id":20,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:39:41.791Z","updatedAt":"2021-07-19T10:39:41.791Z"},{"id":19,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:38:23.117Z","updatedAt":"2021-07-19T10:38:23.117Z"},{"id":18,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:36:39.836Z","updatedAt":"2021-07-19T10:36:39.836Z"},{"id":17,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:35:38.852Z","updatedAt":"2021-07-19T10:35:38.852Z"},{"id":16,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:32:28.683Z","updatedAt":"2021-07-19T10:32:28.683Z"},{"id":15,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:30:16.094Z","updatedAt":"2021-07-19T10:30:16.094Z"},{"id":14,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T10:28:32.899Z","updatedAt":"2021-07-19T10:28:32.899Z"},{"id":13,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:36:22.036Z","updatedAt":"2021-07-19T09:36:22.036Z"},{"id":12,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:34:10.082Z","updatedAt":"2021-07-19T09:34:10.082Z"},{"id":11,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:33:40.416Z","updatedAt":"2021-07-19T09:33:40.416Z"},{"id":10,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:32:58.417Z","updatedAt":"2021-07-19T09:32:58.417Z"},{"id":9,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:32:22.627Z","updatedAt":"2021-07-19T09:32:22.627Z"},{"id":8,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:31:20.868Z","updatedAt":"2021-07-19T09:31:20.868Z"},{"id":7,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:30:20.075Z","updatedAt":"2021-07-19T09:30:20.075Z"},{"id":6,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:28:36.215Z","updatedAt":"2021-07-19T09:28:36.215Z"},{"id":5,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:27:42.890Z","updatedAt":"2021-07-19T09:27:42.890Z"},{"id":4,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:23:25.782Z","updatedAt":"2021-07-19T09:23:25.782Z"},{"id":3,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:22:17.852Z","updatedAt":"2021-07-19T09:22:17.852Z"},{"id":2,"title":"baju","category_id":4,"price":10000,"store":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-19T09:13:08.318Z","updatedAt":"2021-07-19T09:13:08.318Z"}]
20/6/2021:10:22:13 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"add product is success"}
20/6/2021:10:28:42 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:28:42 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:28:42 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidGVzdEBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2NzUxNzIyLCJleHAiOjE2MjY4MzgxMjJ9.AUoSbu7C2FLuWXyNJbC8NFVean0LQOB6kQAIEcG6IIM"}
20/6/2021:10:28:42 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:28:42 | ::ffff:127.0.0.1 | POST | /register | 200 | {"message":"e-mail already registered"}
20/6/2021:10:28:42 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidGVzdEBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2NzUxNzIzLCJleHAiOjE2MjY4MzgxMjN9.WaRmVbId9rNLxSv4BISkDpxI8rVcKjb3Jx-1JQkDcjk"}
